id,flags,expiration,cas,value,rev,vbid,dtype
573246348956315648,33554432,0,1208082561570,"{""id"":""573246348956315648"",""text"":""Big Things Come In Small Packages http://t.co/EZVR1MAQVU #BigData"",""name"":""Alan Shoeford"",""longitude"":null,""hashtags"":[""BigData""],""latitude"":null,""datetime"":1425507554000,""mentions"":[],""user"":""alanshoeford""}",1,715,1
573245470975246336,33554432,0,1223371091195,"{""id"":""573245470975246336"",""text"":""「ポテト」をメルマガ同時検索で探してみる ⇒ http://t.co/K6Epy8TPsA"",""name"":""面白メルマガ"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507345000,""mentions"":[],""user"":""kensaku_merumag""}",5,346,1
573245972043698176,33554432,0,1231008613756,"{""id"":""573245972043698176"",""text"":""RT @cosgretton: @ManeeshJuneja - advocating patient ownership of health data. And glad to see @OBH_UK mentioned - their @innovateuk project…"",""name"":""Innovate UK"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507464000,""mentions"":[""cosgretton"",""ManeeshJuneja"",""OBH_UK"",""innovateuk""],""user"":""innovateuk""}",3,714,1
573246351020072960,33554432,0,1208246317224,"{""id"":""573246351020072960"",""text"":""Leverage meta description to boost search ranking http://t.co/XjsWeK1wHR #SEO"",""name"":""Studio Raygun"",""longitude"":null,""hashtags"":[""SEO""],""latitude"":null,""datetime"":1425507555000,""mentions"":[],""user"":""StudioRaygun""}",1,340,1
573245981283758080,33554432,0,1231314908598,"{""id"":""573245981283758080"",""text"":""RT @FallenWorldBR: \""As próximas notícias que irei revelar será a data de lançamento e o trailer\"" #LaurenKate ❤"",""name"":""Lavy"",""longitude"":null,""hashtags"":[""LaurenKate""],""latitude"":null,""datetime"":1425507466000,""mentions"":[""FallenWorldBR""],""user"":""MyAngelGrigori""}",3,713,1
573246335622627328,33554432,0,1240632482254,"{""id"":""573246335622627328"",""text"":""RT @Cytegic: Report: Majority of #healthcare websites leak data to third parties #InfoSec  http://t.co/Z65a7vHsma"",""name"":""Yotam Gutman"",""longitude"":null,""hashtags"":[""healthcare"",""InfoSec""],""latitude"":null,""datetime"":1425507551000,""mentions"":[""Cytegic""],""user"":""GutmanYotam""}",2,712,1
573246177358966784,33554432,0,1204769194784,"{""id"":""573246177358966784"",""text"":""Woman Digs up Father’s grave in Search of His ‘Real Will’ http://t.co/XRHCtktlJK"",""name"":""Uyi Nosakhare Ken"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507513000,""mentions"":[],""user"":""Kennyz07""}",2,711,1
573245634284822528,33554432,0,1196820462280,"{""id"":""573245634284822528"",""text"":""RT @CasaReal: Encuentro de Don Juan Carlos con trabajadores españoles de @el_BID y coloquio @MorenoBID http://t.co/pFhZJqrkhP http://t.co/i…"",""name"":""David Odalric Caixal"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507384000,""mentions"":[""CasaReal"",""el_BID"",""MorenoBID""],""user"":""comteodalric""}",4,710,1
573245694007488512,33554432,0,1198322894165,"{""id"":""573245694007488512"",""text"":""RT @vinicyusl69l: Odeio gente que troca amizades de longa data por relacionamento de meses 😔😔"",""name"":""o rapazito "",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507398000,""mentions"":[""vinicyusl69l""],""user"":""afonsomaciell""}",4,421,1
573245807907905536,33554432,0,1229508824517,"{""id"":""573245807907905536"",""text"":""RT @beninglaut25: \""@user3838: 小島みなみ Minami Kojima\nhttps://t.co/K0XduZSPFW\n#D230215 http://t.co/elSK3MfIDi\"""",""name"":""Mauricio Pineda "",""longitude"":null,""hashtags"":[""D230215""],""latitude"":null,""datetime"":1425507425000,""mentions"":[""beninglaut25"",""user3838""],""user"":""Maurici79894307""}",4,914,1
